Date,Value
2012-12-31,3.98
2011-12-31,4.26
2010-12-31,5.12
2009-12-31,5.74
2008-12-31,6.64
2007-12-31,8.89
2006-12-31,10.08
2005-12-31,10.82
2004-12-31,11.82
2003-12-31,11.07
2002-12-31,8.71
2001-12-31,6.81
2000-12-31,5.44
1998-12-31,5.05
1997-12-31,4.99
1996-12-31,5.12
1995-12-31,4.65
1992-12-31,6.66
1989-12-31,5.56
1981-12-31,6.72
