Date,Value
2019-12-31,61.615001678467
2018-12-31,61.73099899292
2017-12-31,61.831001281738
2016-12-31,62.046001434326
2015-12-31,62.270999908447
2014-12-31,62.650001525879
2013-12-31,63.033000946045
2012-12-31,63.395000457764
2011-12-31,63.687000274658
2010-12-31,63.882999420166
2009-12-31,64.247001647949
2008-12-31,64.494003295898
2007-12-31,64.662002563477
2006-12-31,64.814002990723
2005-12-31,64.974998474121
2004-12-31,65.274002075195
2003-12-31,65.634002685547
2002-12-31,65.97200012207
2001-12-31,66.169998168945
2000-12-31,66.161003112793
1999-12-31,66.23999786377
1998-12-31,66.148002624512
1997-12-31,65.97200012207
1996-12-31,65.805999755859
1995-12-31,65.622001647949
1994-12-31,65.36799621582
1993-12-31,65.421997070312
1992-12-31,65.546997070312
1991-12-31,65.529998779297
1990-12-31,65.292999267578
