Date,Value
2010-12-31,9.27978885
2007-12-31,7.0186871231
2004-12-31,5.85610596
2000-12-31,4.7121122637
1997-12-31,5.45314
1994-12-31,4.3942042
1991-12-31,4.2247827
1986-12-31,4.0102211
