Date,Value
2012-12-31,37.6802433286
2010-12-31,39.1029202068
2008-12-31,40.353781689
2006-12-31,38.175734307
2005-12-31,44.015900835
2004-12-31,37.003778365
2002-12-31,52.4866964798
2000-12-31,52.2588116817
1998-12-31,57.2560716629
1996-12-31,57.7279904487
1994-12-31,45.4986230528
1992-12-31,44.4391442116
1989-12-31,46.0593642502
1984-12-31,53.0945591124
